iter	RMSE
0	7.879808032
1	7.482702163
2	7.22424649
3	6.936495065
4	6.681021927
5	6.437495181
6	6.139670254
7	5.975507281
8	5.679923508
9	5.43498981
10	5.257065428
11	5.167752207
12	5.010136317
13	4.892795613
14	4.769277442
15	4.629490021
16	4.410281374
17	4.358289622
18	4.318308566
19	4.287930282
20	4.24429702
21	4.197625796
22	4.113498351
23	4.061813691
24	4.024484097
25	3.919121661
26	3.906536153
27	3.814470074
28	3.797627955
29	3.777086217
30	3.725618569
31	3.701643666
32	3.650562258
33	3.568468177
34	3.490856751
35	3.400729018
36	3.324043642
37	3.239423703
38	3.184925276
39	3.128310295
40	3.035689465
41	2.914647407
42	2.882536333
43	2.851327332
44	2.766562952
45	2.71425041
46	2.68561488
47	2.653853326
48	2.558255804
49	2.532265096
50	2.504651959
51	2.423728462
52	2.399358334
53	2.348719289
54	2.337323321
55	2.3187081
56	2.259291473
57	2.242983708
58	2.202741788
59	2.179678508
60	2.166342382
61	2.143125578
62	2.12972217
63	2.120862575
64	2.101617812
65	2.095024613
66	2.039265984
67	2.013979738
68	1.959826861
69	1.921947547
70	1.890948305
71	1.866730876
72	1.830552926
73	1.821419226
74	1.809858966
75	1.771648179
76	1.768655627
77	1.746575988
78	1.725244113
79	1.699305098
80	1.669403234
81	1.639072965
82	1.621434383
83	1.595222531
84	1.576705764
85	1.557829588
86	1.545042463
87	1.530441722
88	1.51488453
89	1.494897192
90	1.474276803
91	1.472240015
92	1.45268208
93	1.432474737
94	1.412219016
95	1.3935487
96	1.377005065
97	1.360944119
98	1.349235481
99	1.335854323
100	1.322640246
101	1.309449625
102	1.302273357
103	1.288754608
104	1.27202286
105	1.264146419
106	1.250247511
107	1.246067994
108	1.234456046
109	1.218266335
110	1.208514068
111	1.206355324
112	1.190632303
113	1.182441182
114	1.171364887
115	1.160674462
116	1.148635443
117	1.143457749
118	1.134228503
119	1.126874136
120	1.116806111
121	1.100470884
122	1.09230698
123	1.090742957
124	1.081219227
125	1.075185095
126	1.070613836
127	1.064055799
128	1.054719826
129	1.045547304
130	1.032367877
131	1.022409756
132	1.011418847
133	1.0069661
134	0.9980160061
135	0.9908796386
136	0.9885177804
137	0.9781925198
138	0.9690323877
139	0.9607791189
140	0.9503525072
141	0.9450824344
142	0.9373165489
143	0.9313584219
144	0.9220418339
145	0.9154504426
146	0.9114413928
147	0.9055331459
148	0.8992567873
149	0.8960555365
150	0.888948465
151	0.8817287905
152	0.8799467845
153	0.8744538691
154	0.8698935825
155	0.8641063804
156	0.8558064069
157	0.8487991469
158	0.8376452412
159	0.8303659055
160	0.8282823137
161	0.8213245051
162	0.8140020583
163	0.8079086661
164	0.8041705355
165	0.8027774203
166	0.800623448
167	0.7938327446
168	0.7846069282
169	0.7812655468
170	0.7748414894
171	0.7739126998
172	0.7653600979
173	0.7627679862
174	0.7575309731
175	0.7529479983
176	0.7463789762
177	0.7437097807
178	0.7386200695
179	0.7338932907
180	0.7313620827
181	0.7227007893
182	0.715389988
183	0.7118144601
184	0.7055929542
185	0.698741635
186	0.6934504534
187	0.6871027459
188	0.6822058423
189	0.6798680831
190	0.6754486877
191	0.6670331174
192	0.6645417267
193	0.6555212517
194	0.6538721012
195	0.6505281109
196	0.6478919777
197	0.6439578357
198	0.6366906107
199	0.6319926243
200	0.627456868
201	0.6253671655
202	0.624026354
203	0.6214900462
204	0.6173619784
205	0.6137109453
206	0.6090865481
207	0.6051082703
208	0.5995731219
209	0.5950585792
210	0.591213284
211	0.5905731518
212	0.5859640191
213	0.5851250277
214	0.5821933865
215	0.5812291578
216	0.5804876775
217	0.5776116055
218	0.569715299
219	0.5639217706
220	0.5628726417
221	0.5624301016
222	0.5573199497
223	0.5528043918
224	0.5497096152
225	0.5459430696
226	0.5408248741
227	0.5361630816
228	0.5325204611
229	0.5295866281
230	0.5253872398
231	0.5231525724
232	0.5212455911
233	0.5167887474
234	0.5156072129
235	0.5119044692
236	0.5072280608
237	0.5039139144
238	0.498709628
239	0.498230698
240	0.4943289783
241	0.4914243811
242	0.490866988
243	0.4880566963
244	0.4854240678
245	0.4839403688
246	0.4824765795
247	0.4791856091
248	0.4781694752
249	0.4744153357
250	0.4698083893
251	0.4691640171
252	0.4687603102
253	0.4663127745
254	0.463611302
255	0.4629152809
256	0.4613956061
257	0.4580118017
258	0.453790699
259	0.452520761
260	0.4517882068
261	0.4489298556
262	0.4443802509
263	0.4435937928
264	0.4402373656
265	0.4379979172
266	0.4356971516
267	0.4350045697
268	0.4320718218
269	0.4304702005
270	0.4296052346
271	0.4241993896
272	0.4202788417
273	0.4166720797
274	0.4163910945
275	0.413889011
276	0.4088785213
277	0.406564985
278	0.4031732822
279	0.3991817077
280	0.3965291053
281	0.3945913837
