iter	Passed	Remaining
0	1	533
1	3	501
2	8	823
3	10	756
4	14	789
5	16	742
6	18	741
7	20	711
8	22	692
9	25	680
10	27	675
11	29	654
12	37	765
13	39	752
14	42	760
15	44	743
16	46	725
17	48	709
18	50	696
19	52	684
20	53	666
21	55	656
22	61	694
23	65	708
24	68	702
25	70	691
26	72	680
27	73	666
28	75	658
29	76	644
30	78	631
31	80	629
32	82	623
33	84	617
34	86	610
35	88	602
36	89	595
37	91	590
38	93	581
39	95	575
40	96	568
41	105	601
42	106	594
43	108	588
44	110	582
45	114	587
46	117	586
47	119	582
48	121	579
49	123	574
50	127	575
51	128	569
52	130	563
53	132	557
54	134	553
55	135	548
56	137	543
57	140	540
58	142	539
59	144	535
60	146	531
61	148	527
62	150	523
63	152	519
64	154	515
65	156	511
66	158	508
67	160	504
68	162	501
69	164	497
70	165	493
71	168	490
72	173	496
73	175	493
74	177	490
75	180	489
76	182	485
77	184	481
78	186	477
79	187	474
80	189	471
81	193	471
82	195	468
83	198	467
84	199	463
85	201	459
86	203	455
87	205	452
88	207	448
89	209	446
90	211	443
91	214	441
92	215	438
93	218	437
94	220	434
95	222	431
96	225	429
97	228	428
98	231	428
99	235	428
100	239	428
101	249	440
102	252	438
103	255	436
104	266	449
105	269	446
106	272	445
107	275	443
108	282	448
109	284	444
110	285	440
111	287	436
112	289	432
113	291	429
114	293	425
115	295	422
116	297	419
117	299	415
118	301	412
119	308	416
120	315	420
121	327	430
122	330	427
123	332	423
124	335	421
125	339	420
126	341	416
127	351	422
128	353	419
129	359	420
130	364	420
131	367	418
132	379	424
133	390	431
134	405	441
135	418	449
136	428	453
137	437	456
138	445	458
139	452	458
140	462	462
141	471	464
142	481	468
143	492	472
144	500	473
145	510	475
146	514	472
147	522	472
148	527	471
149	533	469
150	538	467
151	540	462
152	546	460
153	557	463
154	564	462
155	571	461
156	577	459
157	581	456
158	586	453
159	591	451
160	593	445
161	594	440
162	596	435
163	597	430
164	599	425
165	601	420
166	602	415
167	604	410
168	606	405
169	608	400
170	610	396
171	611	391
172	613	386
173	615	381
174	617	377
175	618	372
176	620	367
177	621	363
178	623	358
179	625	354
180	626	349
181	628	345
182	630	340
183	635	338
184	639	335
185	642	331
186	644	327
187	646	323
188	648	319
189	650	314
190	653	311
191	655	307
192	656	302
193	661	299
194	662	295
195	664	291
196	665	287
197	667	283
198	669	279
199	670	275
200	672	271
201	674	266
202	675	262
203	677	258
204	678	254
205	680	250
206	681	246
207	685	243
208	687	240
209	689	236
210	691	232
211	693	228
212	694	225
213	696	221
214	698	217
215	699	213
216	710	212
217	712	209
218	714	205
219	716	201
220	717	198
221	719	194
222	721	190
223	723	187
224	725	183
225	729	180
226	731	177
227	732	173
228	734	170
229	736	166
230	738	163
231	742	159
232	744	156
233	746	153
234	748	149
235	750	146
236	752	142
237	753	139
238	755	135
239	757	132
240	759	129
241	760	125
242	762	122
243	767	119
244	769	116
245	770	112
246	771	109
247	774	106
248	776	102
249	778	99
250	780	96
251	782	93
252	784	89
253	788	86
254	791	83
255	794	80
256	796	77
257	798	74
258	800	71
259	803	67
260	805	64
261	807	61
262	809	58
263	811	55
264	813	52
265	814	49
266	816	45
267	819	42
268	821	39
269	822	36
270	825	33
271	827	30
272	829	27
273	832	24
274	835	21
275	836	18
276	838	15
277	841	12
278	844	9
279	846	6
280	849	3
281	851	0
