iter	Passed	Remaining
0	1	395
1	2	384
2	4	403
3	7	514
4	11	595
5	13	575
6	16	607
7	19	635
8	24	692
9	27	709
10	31	731
11	38	826
12	42	835
13	46	839
14	49	832
15	53	833
16	56	835
17	60	833
18	64	836
19	73	912
20	77	913
21	85	955
22	93	994
23	98	1001
24	102	988
25	111	1033
26	116	1036
27	123	1053
28	125	1031
29	131	1035
30	134	1020
31	137	1010
32	142	1011
33	146	1004
34	151	1006
35	158	1018
36	163	1014
37	167	1006
38	168	985
39	172	977
40	175	965
41	177	950
42	180	941
43	182	925
44	184	911
45	189	910
46	191	898
47	195	889
48	198	884
49	200	869
50	203	861
51	206	853
52	211	852
53	219	865
54	222	858
55	228	859
56	233	862
57	235	848
58	240	847
59	245	845
60	247	837
61	249	824
62	251	814
63	254	807
64	258	802
65	261	796
66	263	787
67	267	782
68	270	776
69	274	773
70	278	767
71	280	760
72	284	755
73	289	755
74	300	770
75	310	780
76	320	790
77	323	784
78	329	784
79	336	787
80	342	786
81	345	779
82	351	780
83	355	774
84	359	770
85	362	763
86	364	754
87	369	751
88	372	744
89	375	738
90	379	733
91	381	726
92	387	724
93	390	718
94	396	717
95	401	714
96	404	708
97	409	705
98	420	713
99	425	711
100	429	705
101	432	700
102	444	707
103	450	705
104	453	699
105	457	694
106	468	700
107	471	693
108	473	686
109	478	682
110	481	676
111	486	673
112	490	668
113	494	663
114	496	656
115	498	649
116	502	643
117	506	639
118	509	634
119	513	629
120	517	623
121	519	617
122	523	613
123	528	609
124	544	618
125	548	613
126	552	608
127	556	603
128	560	599
129	564	594
130	565	587
131	569	582
132	574	578
133	578	574
134	582	569
135	586	564
136	590	559
137	592	554
138	594	547
139	598	543
140	603	539
141	607	535
142	611	529
143	614	524
144	618	520
145	624	517
146	630	514
147	634	509
148	637	505
149	642	500
150	645	496
151	649	491
152	653	487
153	659	484
154	661	477
155	665	473
156	669	469
157	672	464
158	675	458
159	678	453
160	679	447
161	682	442
162	685	437
163	687	432
164	689	426
165	690	420
166	692	414
167	696	410
168	698	405
169	703	401
170	704	395
171	707	390
172	711	386
173	713	381
174	717	377
175	720	372
176	725	368
177	729	364
178	733	360
179	736	356
180	740	351
181	750	350
182	752	345
183	755	340
184	759	336
185	762	332
186	766	327
187	768	323
188	772	318
189	775	314
190	779	310
191	787	307
192	792	304
193	796	299
194	800	295
195	805	291
196	811	288
197	814	283
198	827	282
199	830	278
200	835	274
201	838	269
202	841	265
203	845	261
204	850	257
205	855	253
206	859	249
207	864	245
208	869	241
209	873	236
210	883	234
211	890	230
212	899	228
213	903	223
214	910	220
215	916	216
216	925	213
217	928	208
218	934	204
219	938	200
220	942	196
221	949	192
222	953	188
223	959	184
224	963	179
225	967	175
226	973	171
227	980	167
228	983	163
229	988	158
230	992	154
231	995	150
232	998	145
233	1004	141
234	1008	137
235	1009	132
236	1011	127
237	1014	123
238	1017	119
239	1020	114
240	1024	110
241	1027	106
242	1029	101
243	1031	97
244	1036	93
245	1043	89
246	1052	85
247	1059	81
248	1065	77
249	1076	73
250	1079	68
251	1083	64
252	1086	60
253	1089	55
254	1093	51
255	1096	47
256	1099	42
257	1102	38
258	1105	34
259	1107	29
260	1111	25
261	1114	21
262	1122	17
263	1128	12
264	1133	8
265	1136	4
266	1138	0
