iter	RMSE
0	8.920445028
1	8.704136348
2	8.506264897
3	8.340208497
4	8.158934521
5	8.032615747
6	7.878968263
7	7.75069624
8	7.617775799
9	7.486636678
10	7.313438752
11	7.100419656
12	7.025612842
13	6.991381174
14	6.89336283
15	6.694768493
16	6.541089227
17	6.431716002
18	6.380846721
19	6.222068008
20	6.104417881
21	6.058800608
22	5.878037983
23	5.796580082
24	5.668297074
25	5.618288889
26	5.546108567
27	5.435860658
28	5.373968047
29	5.265746438
30	5.236523965
31	5.170966009
32	5.062233875
33	5.036575154
34	4.916880116
35	4.890032453
36	4.836995584
37	4.731989507
38	4.728158598
39	4.667730207
40	4.64594512
41	4.543683592
42	4.450620808
43	4.443012484
44	4.418921543
45	4.321386719
46	4.304853226
47	4.282413795
48	4.271407633
49	4.239242533
50	4.221342016
51	4.158849227
52	4.143589524
53	4.09094909
54	4.061720576
55	3.973037022
56	3.916042494
57	3.844998912
58	3.79987374
59	3.779259303
60	3.755882233
61	3.738875208
62	3.715453048
63	3.652390582
64	3.63001966
65	3.588488831
66	3.575716
67	3.568419564
68	3.546847103
69	3.536900746
70	3.527627407
71	3.511602092
72	3.480047671
73	3.442546855
74	3.406273822
75	3.370194491
76	3.318405854
77	3.277116176
78	3.271167075
79	3.226401592
80	3.189976451
81	3.169066853
82	3.140051272
83	3.131109494
84	3.080222878
85	3.05654873
86	3.046623693
87	3.009843783
88	3.000923521
89	2.992880486
90	2.972581424
91	2.958484723
92	2.935287767
93	2.890529195
94	2.867389628
95	2.843116538
96	2.813906907
97	2.790257745
98	2.764019084
99	2.746901514
100	2.73298761
101	2.70245056
102	2.672023137
103	2.645909556
104	2.61934032
105	2.602248027
106	2.565540624
107	2.539282059
108	2.521748718
109	2.504307234
110	2.472616186
111	2.437442134
112	2.417764173
113	2.387794424
114	2.377590194
115	2.35216714
116	2.339460669
117	2.321299527
118	2.305788746
119	2.283491608
120	2.265583016
121	2.253219288
122	2.224823508
123	2.205523183
124	2.187203645
125	2.169388055
126	2.141035804
127	2.123678918
128	2.101319
129	2.088855779
130	2.066531329
131	2.057867153
132	2.047504186
133	2.031482391
134	2.01279269
135	2.007409762
136	1.980245609
137	1.964861589
138	1.939258023
139	1.9249153
140	1.913675668
141	1.90576873
142	1.890011528
143	1.882038982
144	1.870261908
145	1.851603881
146	1.844295099
147	1.834130908
148	1.817907046
149	1.810573267
150	1.801978566
151	1.79745197
152	1.793139403
153	1.784056272
154	1.778539198
155	1.767485928
156	1.761485397
157	1.753853445
158	1.746595628
159	1.740157621
160	1.731745557
161	1.71548529
162	1.705848219
163	1.68339102
164	1.673115665
165	1.653319716
166	1.642864659
167	1.635449282
168	1.621340973
169	1.613425677
170	1.609354392
171	1.593603594
172	1.587918261
173	1.571149561
174	1.566749607
175	1.55291188
176	1.547323068
177	1.532905271
178	1.52588212
179	1.51389902
180	1.498656108
181	1.48169611
182	1.470255653
183	1.456569093
184	1.453004351
185	1.439398722
186	1.429101204
187	1.425335018
188	1.416974121
189	1.414024479
190	1.412107273
191	1.409949958
192	1.408327438
193	1.396158374
194	1.39355416
195	1.381086283
196	1.368955907
197	1.361489433
198	1.360381775
199	1.348196385
200	1.345165164
201	1.34153388
202	1.332873872
203	1.331825441
204	1.328287661
205	1.319740133
206	1.308885807
207	1.296756957
208	1.287942174
209	1.279015052
210	1.277984588
211	1.276332577
212	1.262705767
213	1.251675004
214	1.242324921
215	1.241403738
216	1.234542823
217	1.233242419
218	1.225255979
219	1.217412737
220	1.216488284
221	1.20529858
222	1.196111695
223	1.187566859
224	1.180538358
225	1.1679111
226	1.157956177
227	1.155303001
228	1.146677814
229	1.139456199
230	1.134081372
231	1.128312162
232	1.119385752
233	1.110807599
234	1.105617429
235	1.099759856
236	1.092627672
237	1.085401989
238	1.0843472
239	1.075540172
240	1.065298765
241	1.058547184
242	1.049176511
243	1.044520803
244	1.036051712
245	1.029781351
246	1.027344618
247	1.026786791
248	1.019647365
249	1.012399294
