iter	Passed	Remaining
0	8	1998
1	13	1708
2	22	1890
3	25	1551
4	63	3092
5	70	2884
6	81	2825
7	92	2799
8	99	2653
9	107	2574
10	111	2431
11	133	2641
12	141	2579
13	147	2484
14	154	2426
15	168	2459
16	178	2448
17	182	2349
18	187	2273
19	190	2186
20	195	2131
21	208	2161
22	312	3084
23	314	2960
24	322	2904
25	336	2897
26	338	2799
27	341	2706
28	346	2640
29	351	2576
30	364	2573
31	376	2568
32	393	2585
33	407	2588
34	417	2564
35	422	2514
36	434	2500
37	439	2452
38	441	2386
39	457	2399
40	463	2364
41	468	2319
42	473	2280
43	474	2223
44	478	2178
45	482	2141
46	489	2112
47	494	2079
48	515	2115
49	523	2092
50	526	2056
51	530	2020
52	535	1989
53	539	1958
54	547	1942
55	550	1905
56	555	1880
57	561	1858
58	564	1825
59	566	1793
60	570	1766
61	576	1748
62	579	1719
63	582	1691
64	584	1663
65	588	1639
66	591	1615
67	602	1612
68	608	1597
69	613	1578
70	616	1553
71	619	1532
72	630	1529
73	632	1505
74	636	1484
75	638	1462
76	644	1448
77	660	1456
78	672	1455
79	676	1438
80	680	1419
81	687	1408
82	698	1405
83	700	1384
84	703	1364
85	704	1344
86	707	1325
87	711	1309
88	714	1291
89	717	1276
90	723	1264
91	736	1265
92	741	1251
93	745	1237
94	757	1236
95	763	1224
96	767	1211
97	776	1205
98	784	1196
99	790	1186
100	793	1170
101	795	1154
102	802	1144
103	805	1130
104	808	1116
105	813	1105
106	815	1089
107	819	1077
108	824	1066
109	830	1056
110	836	1046
111	842	1037
112	848	1028
113	863	1030
114	866	1017
115	871	1006
116	874	994
117	876	980
118	880	969
119	885	959
120	888	947
121	892	935
122	894	923
123	898	912
124	904	904
125	914	900
126	927	898
127	932	888
128	934	876
129	939	867
130	942	856
131	946	845
132	947	833
133	949	821
134	951	810
135	956	801
136	958	790
137	972	789
138	975	778
139	979	769
140	997	771
141	1010	768
142	1013	758
143	1015	747
144	1016	736
145	1021	727
146	1023	717
147	1029	709
148	1033	700
149	1036	691
150	1038	681
151	1041	671
152	1047	664
153	1050	654
154	1053	645
155	1056	636
156	1058	626
157	1062	618
158	1063	608
159	1066	600
160	1075	594
161	1079	586
162	1086	579
163	1100	577
164	1105	569
165	1108	560
166	1110	551
167	1125	549
168	1128	540
169	1131	532
170	1140	527
171	1147	520
172	1153	513
173	1157	505
174	1161	497
175	1163	489
176	1172	483
177	1178	476
178	1183	469
179	1186	461
180	1189	453
181	1191	445
182	1194	437
183	1198	430
184	1205	423
185	1206	415
186	1212	408
187	1215	400
188	1218	393
189	1221	385
190	1228	379
191	1229	371
192	1231	363
193	1237	357
194	1242	350
195	1246	343
196	1252	337
197	1258	330
198	1260	323
199	1263	315
200	1270	309
201	1275	303
202	1278	295
203	1283	289
204	1286	282
205	1300	277
206	1302	270
207	1304	263
208	1306	256
209	1312	250
210	1317	243
211	1345	241
212	1385	240
213	1417	238
214	1426	232
215	1434	225
216	1438	218
217	1443	211
218	1460	206
219	1482	202
220	1486	195
221	1492	188
222	1496	181
223	1500	174
224	1505	167
225	1516	161
226	1521	154
227	1525	147
228	1531	140
229	1544	134
230	1548	127
231	1568	121
232	1572	114
233	1583	108
234	1594	101
235	1599	94
236	1603	87
237	1612	81
238	1617	74
239	1621	67
240	1629	60
241	1634	54
242	1639	47
243	1646	40
244	1665	33
245	1671	27
246	1679	20
247	1704	13
248	1714	6
249	1717	0
